taxonRank
GENUS
SPECIES
SPECIES
GENUS
GENUS
GENUS
SPECIES
SPECIES
GENUS
GENUS
KINGDOM
GENUS
GENUS
SPECIES
GENUS
GENUS
SPECIES
SPECIES
SPECIES
GENUS
SPECIES
SPECIES
GENUS
GENUS
GENUS
GENUS
SPECIES
GENUS
GENUS
GENUS
SPECIES
SPECIES
GENUS
KINGDOM
GENUS
SPECIES
GENUS
GENUS
SPECIES
SPECIES
GENUS
SPECIES
SPECIES
SPECIES
GENUS
SPECIES
GENUS
GENUS
GENUS
GENUS
SPECIES
SPECIES
SPECIES
SPECIES
GENUS
GENUS
GENUS
GENUS
GENUS
SPECIES
GENUS
GENUS
SPECIES
GENUS
SPECIES
GENUS
SPECIES
GENUS
GENUS
GENUS
GENUS
SPECIES
SPECIES
SPECIES
SPECIES
SPECIES
SPECIES
SPECIES
SPECIES
SPECIES
GENUS
GENUS
GENUS
GENUS
GENUS
GENUS
GENUS
SPECIES
SPECIES
GENUS
SPECIES
SPECIES
GENUS
SPECIES
SPECIES
GENUS
SPECIES
GENUS
GENUS
GENUS
GENUS
GENUS
GENUS
GENUS
SPECIES
GENUS
GENUS
SPECIES
SPECIES
SPECIES
GENUS
GENUS
GENUS
SPECIES
SPECIES
SPECIES
SPECIES
GENUS
GENUS
GENUS
GENUS
GENUS
GENUS
GENUS
GENUS
GENUS
GENUS
GENUS
GENUS
GENUS
SPECIES
GENUS
GENUS
GENUS
GENUS
GENUS
SPECIES
SPECIES
GENUS
GENUS
GENUS
GENUS
GENUS
GENUS
SPECIES
GENUS
SPECIES
GENUS
GENUS
GENUS
SPECIES
SPECIES
GENUS
SPECIES
SPECIES
GENUS
SPECIES
SPECIES
GENUS
GENUS
GENUS
SPECIES
GENUS
GENUS
GENUS
SPECIES
GENUS
GENUS
GENUS
SPECIES
SPECIES
GENUS
GENUS
KINGDOM
SPECIES
SPECIES
GENUS
GENUS
CLASS
SPECIES
SPECIES
GENUS
SPECIES
SPECIES
GENUS
GENUS
SPECIES
CLASS
GENUS
GENUS
GENUS
GENUS
GENUS
GENUS
SPECIES
GENUS
GENUS
SPECIES
SPECIES
SPECIES
SPECIES
SPECIES
GENUS
SPECIES
GENUS
SPECIES
SPECIES
GENUS
SPECIES
SPECIES
SPECIES
GENUS
GENUS
SPECIES
GENUS
GENUS
GENUS
SPECIES
GENUS
SPECIES
SPECIES
SPECIES
GENUS
GENUS
SPECIES
SPECIES
SPECIES
GENUS
GENUS
SPECIES
SPECIES
SPECIES
SPECIES
SPECIES
GENUS
GENUS
SPECIES
GENUS
GENUS
SPECIES
GENUS
GENUS
GENUS
SPECIES
GENUS
GENUS
GENUS
GENUS
SPECIES
GENUS
GENUS
GENUS
SPECIES
SPECIES
GENUS
SPECIES
GENUS
GENUS
GENUS
GENUS
GENUS
SPECIES
SPECIES
SPECIES
SPECIES
SPECIES
GENUS
SPECIES
GENUS
SPECIES
SPECIES
GENUS
SPECIES
GENUS
GENUS
SPECIES
GENUS
SPECIES
SPECIES
GENUS
GENUS
GENUS
SPECIES
GENUS
GENUS
SPECIES
GENUS
SPECIES
SPECIES
GENUS
GENUS
SPECIES
GENUS
SPECIES
GENUS
SPECIES
GENUS
SPECIES
GENUS
GENUS
GENUS
GENUS
GENUS
SPECIES
SPECIES
GENUS
GENUS
GENUS
GENUS
GENUS
SPECIES
KINGDOM
GENUS
GENUS
GENUS
SPECIES
SPECIES
SPECIES
GENUS
GENUS
SPECIES
SPECIES
GENUS
SPECIES
SPECIES
GENUS
SPECIES
SPECIES
GENUS
GENUS
GENUS
SPECIES
SPECIES
CLASS
CLASS
FAMILY
CLASS
FAMILY
FAMILY
FAMILY
FAMILY
FAMILY
FAMILY
CLASS
CLASS
CLASS
FAMILY
FAMILY
CLASS
CLASS
CLASS
CLASS
CLASS
CLASS
FAMILY
FAMILY
CLASS
CLASS
FAMILY
CLASS
CLASS
CLASS
CLASS
FAMILY
ORDER
FAMILY
CLASS
CLASS
CLASS
CLASS
CLASS
CLASS
CLASS
ORDER
CLASS
CLASS
CLASS
CLASS
ORDER
CLASS
CLASS
FAMILY
FAMILY
CLASS
ORDER
CLASS
ORDER
CLASS
CLASS
CLASS
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
CLASS
CLASS
FAMILY
CLASS
ORDER
CLASS
ORDER
CLASS
CLASS
CLASS
ORDER
FAMILY
ORDER
FAMILY
ORDER
ORDER
ORDER
CLASS
ORDER
ORDER
ORDER
ORDER
FAMILY
FAMILY
CLASS
CLASS
ORDER
CLASS
ORDER
ORDER
ORDER
CLASS
ORDER
FAMILY
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
CLASS
CLASS
ORDER
ORDER
CLASS
ORDER
CLASS
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
CLASS
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
CLASS
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
ORDER
CLASS
ORDER
ORDER
ORDER
CLASS
CLASS
ORDER
CLASS
ORDER
SPECIES
KINGDOM
GENUS
GENUS
SUBSPECIES
SUBSPECIES
GENUS
SPECIES
KINGDOM
SUBSPECIES
SUBSPECIES
SPECIES
SPECIES
KINGDOM
SUBSPECIES
KINGDOM
SPECIES
SUBSPECIES
SUBSPECIES
KINGDOM
KINGDOM
KINGDOM
SPECIES
