day
30.0
15.0
12.0
30.0
30.0

15.0

30.0
30.0
5.0
30.0
30.0
15.0
30.0

12.0
15.0
15.0
30.0
15.0

30.0


30.0
15.0
30.0
30.0
30.0


30.0
6.0
30.0
12.0
30.0
30.0
4.0
15.0
30.0
15.0


30.0

30.0
30.0
30.0
30.0
15.0
12.0
12.0
15.0
30.0
30.0


30.0
12.0
30.0
30.0
15.0
30.0



30.0

25.0
30.0

15.0
15.0

12.0
15.0
12.0
12.0
12.0
30.0
30.0
30.0
30.0
30.0
30.0

12.0
12.0

12.0
15.0
30.0

12.0
30.0


30.0
30.0
30.0
30.0
30.0
30.0
12.0


12.0
12.0

30.0



15.0
12.0
10.0

15.0
30.0
30.0
30.0
30.0
30.0
30.0

30.0

5.0
30.0
12.0
30.0
30.0
30.0
30.0


15.0

30.0
30.0
30.0
30.0
30.0
12.0
30.0
15.0
30.0
30.0
30.0
15.0

30.0
15.0
15.0

12.0


30.0
15.0
12.0
30.0
30.0
30.0
15.0

30.0

12.0

30.0
30.0
22.0
15.0

30.0
30.0
23.0
12.0
12.0
30.0
12.0
15.0

30.0



30.0
30.0
30.0
30.0
30.0
15.0
30.0
30.0
10.0


12.0
15.0
30.0
12.0

15.0

30.0
12.0
15.0

30.0


30.0
30.0
30.0
15.0
30.0
15.0
12.0
15.0
30.0


15.0
15.0
30.0

15.0
12.0
15.0
15.0


15.0
15.0

30.0

30.0
30.0
30.0

30.0
30.0

30.0
4.0
30.0

30.0
12.0
12.0
30.0
15.0


30.0
30.0
30.0


4.0

12.0
30.0

30.0
4.0
15.0

15.0
30.0
30.0

30.0
12.0

30.0
30.0
30.0

30.0
30.0
12.0

15.0

30.0
30.0

30.0
15.0


15.0
12.0

30.0
30.0
4.0
30.0
12.0
15.0
30.0
30.0
30.0

30.0
15.0
23.0
30.0
15.0

15.0
15.0
15.0


15.0
12.0
30.0
12.0
15.0
30.0
15.0
15.0
30.0
30.0
15.0
15.0
15.0
8.0
17.0
9.0
9.0

16.0
11.0
18.0
17.0
19.0

28.0
25.0
16.0
9.0
19.0
30.0
19.0
14.0
7.0
11.0
17.0
15.0
4.0
14.0
15.0
28.0
1.0
24.0
24.0
18.0
24.0
11.0
29.0
30.0
4.0
21.0
6.0
11.0
21.0
10.0
3.0
8.0
29.0
29.0
23.0
4.0
23.0
9.0
9.0
25.0
