eventRemarks
""
""
""
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
Amazôna Azul
""
""
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
""
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
Material doado Laboratório de Oceanografia Biológica/UFPA
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
""
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
Material doado Laboratório de Oceanografia Biológica/UFPA
""
Amazôna Azul
""
""
""
""
""
""
""
""
"Material doado Laboratório de Oceanografia Biológica/UFPA; Projeto RECOS – Instituto do Milênio"
Material doado Laboratório de Oceanografia Biológica/UFPA
""
"Material doado Laboratório de Oceanografia Biológica/UFPA; Projeto RECOS – Instituto do Milênio"
""
""
""
""
""
""
""
""
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
""
""
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
Material doado Laboratório de Oceanografia Biológica/UFPA
Material doado Laboratório de Oceanografia Biológica/UFPA
""
Material doado Laboratório de Oceanografia Biológica/UFPA
Amazôna Azul
""
"Material doado Laboratório de Oceanografia Biológica/UFPA; Projeto RECOS – Instituto do Milênio"
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
""
""
""
""
""
""
""
""
""
"Material doado Laboratório de Oceanografia Biológica/UFPA; Projeto RECOS – Instituto do Milênio"
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
""
""
""
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
Material doado Laboratório de Oceanografia Biológica/UFPA
Material doado Laboratório de Oceanografia Biológica/UFPA
Recifes Arenosos
""
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
""
""
""
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
"Material doado Laboratório de Oceanografia Biológica/UFPA; Projeto RECOS – Instituto do Milênio"
Amazôna Azul
""
""
""
""
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
"Material doado Laboratório de Oceanografia Biológica/UFPA; Projeto RECOS – Instituto do Milênio"
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
""
""
""
""
""
""
""
""
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
Material doado Laboratório de Oceanografia Biológica/UFPA
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
""
""
""
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
Amazôna Azul
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
Os individuos foram coletados com pegador Petitponar.
""
""
""
""
""
