specificEpithet
""
mendesi
mendesi
""
""
""
corethrurus
culveri
""
""
""
""
""
mendesi
""
""
antonioi
mendesi
corethrurus
""
africanus
grubii
""
""
""
""
corethrurus
""
""
""
grubii
culveri
""
""
""
mendesi
""
""
corethrurus
corethrurus
""
mendesi
fluviatilis
culveri
""
fluviatilis
""
""
""
""
africanus
corethrurus
corethrurus
tocantinensis
""
""
""
""
""
corethrurus
""
""
corethrurus
""
grubii
""
grubii
""
""
""
""
fluviatilis
corethrurus
corethrurus
grubii
petrerei
affinis
mendesi
corethrurus
antonioi
""
""
""
""
""
""
""
antonioi
corethrurus
""
bolaui
bolaui
""
culveri
corethrurus
""
culveri
""
""
""
""
""
""
""
corethrurus
""
""
bolaui
antonioi
culveri
""
""
""
caudata
corethrurus
mendesi
caudata
""
""
""
""
""
""
""
""
""
""
""
""
""
corethrurus
""
""
""
""
""
fluviatilis
corethrurus
""
""
""
""
""
""
mendesi
""
corethrurus
""
""
""
affinis
grubii
""
tocantinensis
tocantinensis
""
bolaui
grubii
""
""
""
antonioi
""
""
""
corethrurus
""
""
""
corethrurus
grubii
""
""
""
africanus
grubii
""
""
""
mendesi
brasiliensis
""
antonioi
africanus
""
""
grubii
""
""
""
""
""
""
""
petrerei
""
""
caudata
culveri
grubii
petrerei
affinis
""
antonioi
""
corethrurus
culveri
""
corethrurus
corethrurus
grubii
""
""
grubii
""
""
""
affinis
""
bolaui
corethrurus
tocantinensis
""
""
grubii
bolaui
petrerei
""
""
bolaui
corethrurus
corethrurus
corethrurus
fluviatilis
""
""
bolaui
""
""
fluviatilis
""
""
""
fluviatilis
""
""
""
""
corethrurus
""
""
""
petrerei
bolaui
""
petrerei
""
""
""
""
""
grubii
grubii
corethrurus
grubii
mendesi
""
grubii
""
corethrurus
corethrurus
""
petrerei
""
""
grubii
""
mendesi
culveri
""
""
""
grubii
""
""
bolaui
""
corethrurus
culveri
""
""
culveri
""
corethrurus
""
culveri
""
mendesi
""
""
""
""
""
corethrurus
tocantinensis
""
""
""
""
""
affinis
""
""
""
""
petrerei
corethrurus
mendesi
""
""
corethrurus
mendesi
""
antonioi
corethrurus
""
corethrurus
corethrurus
""
""
""
corethrurus
corethrurus
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
saliens
""
""
""
divergens
divergens
""
brasiliensis
""
bolaui
andina
corethrurus
petrerei
""
andina
""
jucundus
bolaui
bolaui
""
""
""
jucundus
corethrurus
joseensis
""
""
andina
jucundus
andina
""
""
""
""
""
""
""
andina
""
""
""
""
""
""
""
""
servi
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
corethrurus
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
corethrurus
""
""
""
""
""
corethrurus
corethrurus
""
""
""
corethrurus
""
corethrurus
""
""
""
corethrurus
corethrurus
""
corethrurus
corethrurus
""
""
corethrurus
""
""
""
""
""
""
corethrurus
""
corethrurus
""
""
""
""
""
""
""
""
corethrurus
""
""
""
""
""
""
""
corethrurus
""
""
""
""
ovincola
pulchella
""
""
""
""
""
corethrurus
""
""
""
""
""
""
""
""
""
""
""
""
""
""
capitata
""
succinea
succinea
""
wilsoni
""
""
""
culveri
""
corethrurus
corethrurus
""
""
""
""
""
""
""
""
oligohalina
oligohalina
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
corethrurus
""
""
""
corethrurus
""
corethrurus
""
""
""
""
""
corethrurus
corethrurus
corethrurus
corethrurus
""
corethrurus
corethrurus
""
""
""
""
""
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
corethrurus
