gbifID;accessRights;license;rightsHolder;institutionCode;collectionCode;basisOfRecord;occurrenceID;catalogNumber;recordedBy;occurrenceStatus;preparations;eventDate;year;month;day;eventRemarks;higherGeography;continent;countryCode;stateProvince;county;locality;decimalLatitude;decimalLongitude;typeStatus;scientificName;kingdom;phylum;class;order;family;genus;genericName;specificEpithet;infraspecificEpithet;taxonRank;taxonomicStatus;datasetKey;publishingCountry;lastInterpreted;issue;hasCoordinate;hasGeospatialIssues;taxonKey;acceptedTaxonKey;kingdomKey;phylumKey;classKey;orderKey;familyKey;genusKey;speciesKey;species;acceptedScientificName;verbatimScientificName;protocol;lastParsed;lastCrawled;repatriated;level0Gid;level0Name;level1Gid;level1Name;level2Gid;level2Name;iucnRedListCategory
1913497143;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 000488;MPEG.ANL 000488;"Beckman, Ruana; Pena, José; Souza, Raíssa";PRESENT;Etanol - 2;43122;2018;1;22;NULL;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1440694;-4841125;NULL;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;NULL;NULL;Haplotaxida;NULL;NULL;ORDER;DOUBTFUL;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;45176,26326;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";VERDADEIRO;FALSO;472;472;1;42;255;472;NULL;NULL;NULL;NULL;Haplotaxida;Haplotaxida;EML;45176,26326;44933,35076;FALSO;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
1913497142;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 000461;MPEG.ANL 000461;"Beckman, Ruana; Pena, José; Souza, Raíssa";PRESENT;Etanol - 8;42968;2017;8;21;NULL;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1440694;-4841125;NULL;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;NULL;NULL;Haplotaxida;NULL;NULL;ORDER;DOUBTFUL;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;45176,26326;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";VERDADEIRO;FALSO;472;472;1;42;255;472;NULL;NULL;NULL;NULL;Haplotaxida;Haplotaxida;EML;45176,26326;44933,35076;FALSO;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
1913497141;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 000544;MPEG.ANL 000544;Cherniski, D.;PRESENT;EtOH - 10;42976;2017;8;29;NULL;Pará, Baião;SOUTH_AMERICA;BR;Pará;Baião;Bacia Tocantins-Araguaia;-26816;-49673692;NULL;Oligochaeta;Animalia;Annelida;Clitellata;NULL;NULL;NULL;Oligochaeta;NULL;NULL;CLASS;SYNONYM;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;45176,26326;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";VERDADEIRO;FALSO;8166676;255;1;42;255;NULL;NULL;NULL;NULL;NULL;Clitellata;Oligochaeta;EML;45176,26326;44933,35076;FALSO;BRA;Brazil;BRA.14_1;Pará;BRA.14.16_2;Baião;NULL
1913497140;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 000441;MPEG.ANL 000441;"Beckman, Ruana; Pena, José; Souza, Raíssa";PRESENT;Etanol - 5;43152;2018;2;21;NULL;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1440694;-4841125;NULL;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;NULL;NULL;Haplotaxida;NULL;NULL;ORDER;DOUBTFUL;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;45176,26326;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";VERDADEIRO;FALSO;472;472;1;42;255;472;NULL;NULL;NULL;NULL;Haplotaxida;Haplotaxida;EML;45176,26326;44933,35076;FALSO;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
1913497139;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 000545;MPEG.ANL 000545;Cherniski, D.;PRESENT;EtOH - 24;43111;2018;1;11;NULL;Pará, Marabá;SOUTH_AMERICA;BR;Pará;Marabá;Bacia Tocantins-Araguaia;-5327128;-49117889;NULL;Oligochaeta;Animalia;Annelida;Clitellata;NULL;NULL;NULL;Oligochaeta;NULL;NULL;CLASS;SYNONYM;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;45176,26326;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";VERDADEIRO;FALSO;8166676;255;1;42;255;NULL;NULL;NULL;NULL;NULL;Clitellata;Oligochaeta;EML;45176,26326;44933,35076;FALSO;BRA;Brazil;BRA.14_1;Pará;BRA.14.66_2;Marabá;NULL
1913497138;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 000462;MPEG.ANL 000462;"Beckman, Ruana; Pena, José; Souza, Raíssa";PRESENT;Etanol - 1;42976;2017;8;29;NULL;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1440694;-4841125;NULL;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;NULL;NULL;Haplotaxida;NULL;NULL;ORDER;DOUBTFUL;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;45176,26326;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";VERDADEIRO;FALSO;472;472;1;42;255;472;NULL;NULL;NULL;NULL;Haplotaxida;Haplotaxida;EML;45176,26326;44933,35076;FALSO;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
1913497137;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 000417;MPEG.ANL 000417;"Beckman, Ruana; Pena, José; Souza, Raíssa";PRESENT;Etanol - 1;42968;2017;8;21;NULL;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1440694;-4841125;NULL;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;NULL;NULL;Haplotaxida;NULL;NULL;ORDER;DOUBTFUL;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;45176,26326;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";VERDADEIRO;FALSO;472;472;1;42;255;472;NULL;NULL;NULL;NULL;Haplotaxida;Haplotaxida;EML;45176,26326;44933,35076;FALSO;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
1913497136;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 000495;MPEG.ANL 000495;"Beckman, Ruana; Pena, José; Souza, Raíssa";PRESENT;Etanol - 1;42979;2017;9;1;NULL;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1440694;-4841125;NULL;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;NULL;NULL;Haplotaxida;NULL;NULL;ORDER;DOUBTFUL;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;45176,26326;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";VERDADEIRO;FALSO;472;472;1;42;255;472;NULL;NULL;NULL;NULL;Haplotaxida;Haplotaxida;EML;45176,26326;44933,35076;FALSO;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
1913497135;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 000443;MPEG.ANL 000443;"Beckman, Ruana; Pena, José; Souza, Raíssa";PRESENT;Etanol - 1;43010;2017;10;2;NULL;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1440694;-4841125;NULL;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;NULL;NULL;Haplotaxida;NULL;NULL;ORDER;DOUBTFUL;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;45176,26326;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";VERDADEIRO;FALSO;472;472;1;42;255;472;NULL;NULL;NULL;NULL;Haplotaxida;Haplotaxida;EML;45176,26326;44933,35076;FALSO;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
1913497134;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 000456;MPEG.ANL 000456;"Beckman, Ruana; Pena, José; Souza, Raíssa";PRESENT;Etanol - 1;42977;2017;8;30;NULL;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1440694;-4841125;NULL;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;NULL;NULL;Haplotaxida;NULL;NULL;ORDER;DOUBTFUL;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;45176,26326;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";VERDADEIRO;FALSO;472;472;1;42;255;472;NULL;NULL;NULL;NULL;Haplotaxida;Haplotaxida;EML;45176,26326;44933,35076;FALSO;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
