acceptedScientificName
Pontoscolex
Liodrilus mendesi Righi, 1994
Liodrilus mendesi Righi, 1994
Pontoscolex
Pontoscolex
Heteromastus Eisig, 1887
Pontoscolex corethrurus (Muller, 1856)
Laeonereis culveri (Webster, 1879)
Pontoscolex
Pontoscolex
""
Pontoscolex
Pontoscolex
Liodrilus mendesi Righi, 1994
Pontoscolex
Neanthes Kinberg, 1865
Rhinodrilus antonioi Hernández-García & Sousa, 2020
Liodrilus mendesi Righi, 1994
Pontoscolex corethrurus (Muller, 1856)
Pontoscolex
Hyperiodrilus africanus Beddard, 1891
Sigambra grubii Müller, 1858
Pontoscolex
Capitella Blainville, 1828
Laeonereis Hartman, 1945
Pontoscolex
Pontoscolex corethrurus (Muller, 1856)
Pontoscolex
Pontoscolex
Pontoscolex
Sigambra grubii Müller, 1858
Laeonereis culveri (Webster, 1879)
Pontoscolex
""
Pontoscolex
Liodrilus mendesi Righi, 1994
Pontoscolex
Pontoscolex
Pontoscolex corethrurus (Muller, 1856)
Pontoscolex corethrurus (Muller, 1856)
Pontoscolex
Liodrilus mendesi Righi, 1994
Nephtys fluviatilis Monro, 1937
Laeonereis culveri (Webster, 1879)
Pontoscolex
Nephtys fluviatilis Monro, 1937
Pontoscolex
Pontoscolex
Pontoscolex
Pontoscolex
Hyperiodrilus africanus Beddard, 1891
Pontoscolex corethrurus (Muller, 1856)
Pontoscolex corethrurus (Muller, 1856)
Righiodrilus tocantinensis (Righi, 1972)
Pontoscolex
Pontoscolex
Sigambra Müller, 1858
Capitella Blainville, 1828
Pontoscolex
Pontoscolex corethrurus (Muller, 1856)
Pontoscolex
Pontoscolex
Pontoscolex corethrurus (Muller, 1856)
Pontoscolex
Sigambra grubii Müller, 1858
Notomastus M.Sars, 1851
Sigambra grubii Müller, 1858
Pontoscolex
Sigambra Müller, 1858
Aphrodita Linnaeus, 1758
Pontoscolex
Nephtys fluviatilis Monro, 1937
Pontoscolex corethrurus (Muller, 1856)
Pontoscolex corethrurus (Muller, 1856)
Sigambra grubii Müller, 1858
Urobenus petrerei Righi, 1985
Benhamia affinis Michaelsen, 1890
Liodrilus mendesi Righi, 1994
Pontoscolex corethrurus (Muller, 1856)
Rhinodrilus antonioi Hernández-García & Sousa, 2020
Pontoscolex
Pontoscolex
Pontoscolex
Pontoscolex
Pontoscolex
Pontoscolex
Sigambra Müller, 1858
Rhinodrilus antonioi Hernández-García & Sousa, 2020
Pontoscolex corethrurus (Muller, 1856)
Notomastus M.Sars, 1851
Dichogaster bolaui (Michaelsen, 1891)
